X.i, X.j, Y.i, Y.j
45, 34, 11, 11
46, 35, 12, 12
47, 36, 13, 13
48, 37, 14, 14
49, 38, 15, 15
50, 39, 16, 16
51, 40, 17, 17
52, 41, 18, 18
53, 42, 19, 19
54, 43, 20, 20
55, 44, 21, 21
56, 45, 22, 22
57, 46, 23, 23
58, 47, 24, 24
59, 48, 25, 25
60, 49, 26, 26
61, 50, 27, 27
62, 51, 28, 28
63, 52, 29, 29
64, 53, 30, 30
65, 54, 31, 31
66, 55, 32, 32
67, 56, 33, 33
68, 57, 34, 34
69, 58, 35, 35
70, 59, 36, 36
71, 60, 37, 37
72, 61, 38, 38
73, 62, 39, 39
74, 63, 40, 40
75, 64, 41, 41
76, 65, 42, 42
77, 66, 43, 43
78, 67, 44, 44
79, 68, 45, 45
80, 69, 46, 46
81, 70, 47, 47
82, 71, 48, 48
83, 72, 49, 49
84, 73, 50, 50
85, 74, 51, 51
86, 75, 52, 52
87, 76, 53, 53
88, 77, 54, 54
89, 78, 55, 55
90, 79, 56, 56
91, 80, 57, 57
92, 81, 58, 58
93, 82, 59, 59
94, 83, 60, 60
95, 84, 61, 61
96, 85, 62, 62
