X.i, X.j, Y.i, Y.j
43,33,11,11
42,34,12,12
41,33,13,13
41,34,14,14
41,34,15,15
42,35,16,16
41,36,17,17
41,36,18,18
42,36,19,19
43,37,20,20
44,36,21,21
45,37,22,22
44,38,23,23
45,38,24,24
46,37,25,25
47,38,26,26
48,38,27,27
49,39,28,28
49,38,29,28
50,39,30,29
50,40,31,30
51,39,32,30
52,38,33,30
53,39,34,30
52,39,35,31
53,40,36,32
54,39,37,32
55,40,38,32
56,39,39,32
57,40,40,32
58,41,41,33
58,42,42,34
59,43,43,35
60,43,44,35
61,42,45,35
62,41,46,35
62,41,47,35
63,41,48,35
63,42,49,35
64,42,50,35
65,43,51,36
65,42,52,36
66,43,53,37
66,44,54,38
65,44,55,39
66,45,56,40
66,45,57,41
67,46,58,42
67,47,59,43
68,46,60,43
68,47,61,44
69,48,62,45
69,48,63,45
68,48,64,46
69,48,65,46
69,47,66,46
70,46,67,46
71,45,68,46
71,45,69,46
70,45,70,46
70,46,70,46
