X.i, X.j, Y.i, Y.j
44, 34, 11, 11
44, 35, 12, 12
44, 36, 13, 13
44, 37, 14, 14
44, 38, 15, 15
44, 39, 16, 16
44, 40, 17, 17
44, 41, 18, 18
44, 42, 19, 19
44, 43, 20, 20
44, 44, 21, 21
44, 45, 22, 22
44, 46, 23, 23
44, 47, 24, 24
44, 48, 25, 25
44, 49, 26, 26
44, 50, 27, 27
44, 51, 28, 28
44, 52, 29, 29
44, 53, 30, 30
44, 54, 31, 31
44, 55, 32, 32
44, 56, 33, 33
44, 57, 34, 34
44, 58, 35, 35
44, 59, 36, 36
44, 60, 37, 37
44, 61, 38, 38
44, 62, 39, 39
44, 63, 40, 40
44, 64, 41, 41
44, 65, 42, 42
44, 66, 43, 43
44, 67, 44, 44
44, 68, 44, 44
44, 69, 44, 44
44, 70, 44, 44
44, 71, 44, 44
44, 72, 44, 44
44, 73, 44, 44
44, 74, 44, 44
44, 75, 44, 44
44, 76, 44, 44
44, 77, 44, 44
44, 78, 44, 44
44, 79, 44, 44
44, 80, 44, 44
44, 81, 44, 44
44, 82, 44, 44
44, 83, 44, 44
44, 84, 44, 44
44, 85, 44, 44
44, 86, 44, 44
44, 87, 44, 44
44, 88, 44, 44
44, 89, 44, 44
44, 90, 44, 44
44, 91, 44, 44
44, 92, 44, 44
44, 93, 44, 44
44, 94, 44, 44
44, 95, 44, 44
