X.i, X.j, Y.i, Y.j
399,300,1,1
398,301,2,2
397,300,3,3
397,301,4,4
397,301,5,5
398,302,6,6
397,303,7,7
397,303,8,8
398,303,9,9
399,304,10,10
400,303,11,11
401,304,12,12
400,305,13,13
401,305,14,14
402,304,15,15
403,305,16,16
404,305,17,17
405,306,18,18
405,305,19,19
406,306,20,20
406,307,21,21
407,306,22,22
408,305,23,23
409,306,24,24
408,306,25,25
409,307,26,26
410,306,27,27
411,307,28,28
412,306,29,29
413,307,30,30
414,308,31,31
414,309,32,32
415,310,33,33
416,310,34,34
417,309,35,35
418,308,36,36
418,308,37,37
419,308,38,38
419,309,39,39
420,309,40,40
421,310,41,41
421,309,42,42
422,310,43,43
422,311,44,44
421,311,45,45
422,312,46,46
422,312,47,47
423,313,48,48
423,314,49,49
424,313,50,50
424,314,51,51
425,315,52,52
425,315,53,53
424,315,54,54
425,315,55,55
425,314,56,56
426,313,57,57
427,312,58,58
427,312,59,59
426,312,60,60
426,313,61,61
427,314,62,62
426,314,63,63
427,315,64,64
428,316,65,65
428,317,66,66
429,317,67,67
430,318,68,68
430,319,69,69
431,319,70,70
432,320,71,71
432,320,72,72
431,320,73,73
432,320,74,74
432,321,75,75
433,320,76,76
434,321,77,77
435,320,78,78
436,320,79,79
437,320,80,80
436,321,81,81
436,322,82,82
435,321,83,83
434,320,84,84
433,321,85,85
432,321,86,86
432,322,87,87
433,322,88,88
434,322,89,89
434,322,90,90
435,323,91,91
436,322,92,92
435,321,93,93
436,320,94,94
437,321,95,95
437,322,96,96
438,323,97,97
437,324,98,98
437,324,99,99
438,325,100,100
438,325,101,101
439,324,102,102
440,325,103,103
439,324,104,104
440,323,105,105
440,324,106,106
440,324,107,107
440,325,108,108
440,326,109,109
440,326,110,110
441,326,111,111
442,326,112,112
442,327,113,113
441,327,114,114
440,328,115,115
441,328,116,116
442,327,117,117
441,328,118,118
442,328,119,119
442,329,120,120
443,329,121,121
444,330,122,122
445,331,123,123
445,332,124,124
445,332,125,125
445,331,126,126
444,331,127,127
443,330,128,128
443,331,129,129
444,332,130,130
445,331,131,131
446,331,132,132
446,331,133,133
447,331,134,134
446,332,135,135
447,331,136,136
447,332,137,137
446,332,138,138
446,333,139,139
447,334,140,140
448,335,141,141
448,334,142,142
449,335,143,143
450,336,144,144
450,337,145,145
450,338,146,146
451,337,147,147
452,336,148,148
452,337,149,149
452,338,150,150
453,338,151,151
454,338,152,152
454,338,153,153
455,339,154,154
455,340,155,155
456,340,156,156
457,340,157,157
458,340,158,158
459,341,159,159
460,341,160,160
459,340,161,161
458,341,162,162
459,340,163,163
460,341,164,164
461,341,165,165
462,341,166,166
462,341,167,167
462,342,168,168
463,343,169,169
464,342,170,170
465,343,171,171
465,344,172,172
464,345,173,173
465,345,174,174
466,345,175,175
466,345,176,176
467,346,177,177
468,345,178,178
469,345,179,179
470,346,180,180
471,347,181,181
472,347,182,182
473,348,183,183
474,349,184,184
473,348,185,185
473,349,186,186
473,348,187,187
474,349,188,188
475,349,189,189
475,349,190,190
476,350,191,191
477,351,192,192
478,352,193,193
478,352,194,194
478,353,195,195
479,354,196,196
480,354,197,197
480,355,198,198
481,356,199,199
482,357,200,200
481,356,201,201
481,357,202,202
482,357,203,203
483,356,204,204
483,357,205,205
484,358,206,206
484,359,207,207
485,359,208,208
485,360,209,209
485,361,210,210
486,362,211,211
485,363,212,212
486,362,213,213
486,363,214,214
486,364,215,215
486,364,216,216
487,365,217,217
488,365,218,218
489,364,219,219
488,364,220,220
487,365,221,221
487,365,222,222
487,364,223,223
488,365,224,224
489,365,225,225
488,366,226,226
488,367,227,227
489,368,228,228
490,368,229,229
489,369,230,230
490,368,231,231
489,368,232,232
490,368,233,233
491,367,234,234
491,367,235,235
491,368,236,236
492,368,237,237
492,369,238,238
493,369,239,239
493,370,240,240
494,371,241,241
495,372,242,242
495,372,243,243
496,372,244,244
497,372,245,245
498,371,246,245
499,371,247,245
500,372,248,246
500,373,249,247
500,374,250,248
500,375,251,249
500,376,252,250
501,375,253,251
502,376,254,252
501,375,255,252
501,376,256,253
502,377,257,254
503,378,258,255
504,378,259,256
505,379,260,257
506,380,261,258
507,379,262,258
507,380,263,258
507,381,264,259
506,381,265,260
507,381,266,261
508,382,267,262
509,383,268,263
510,382,269,263
511,383,270,263
511,384,271,264
512,385,272,265
513,385,273,265
513,385,274,266
512,384,275,266
513,384,276,266
514,383,277,266
514,382,278,266
514,381,279,266
515,382,280,266
514,382,281,266
515,383,282,267
516,384,283,268
516,384,284,268
517,383,285,268
518,382,286,268
518,382,287,268
517,382,288,268
517,382,289,268
517,382,290,269
518,382,291,269
518,381,292,269
518,382,293,270
519,381,294,270
518,382,295,271
518,382,296,271
519,383,297,272
520,382,298,272
519,382,299,272
520,382,300,272
519,383,301,273
518,383,302,274
517,382,303,275
518,382,304,275
519,383,305,276
519,384,306,277
520,384,307,278
521,384,308,278
520,383,309,278
520,384,310,279
519,385,311,280
519,386,312,281
520,386,313,282
520,385,314,282
521,385,315,282
521,386,316,283
522,387,317,284
522,388,318,285
523,388,319,286
522,389,320,287
522,390,321,288
522,391,322,289
522,392,323,290
522,391,324,291
523,392,325,292
524,392,326,293
524,393,327,294
524,393,328,295
525,394,329,296
525,395,330,297
526,396,331,298
526,397,332,299
527,397,333,300
528,396,334,300
528,397,335,301
529,398,336,302
530,399,337,303
531,399,338,303
530,399,339,304
531,399,340,304
532,400,341,305
533,401,342,306
534,402,343,307
535,401,344,307
535,401,345,307
534,401,346,307
535,402,347,308
534,402,348,309
534,402,349,310
534,401,350,310
534,400,351,310
535,400,352,310
536,401,353,310
535,402,354,311
536,403,355,312
536,403,356,313
537,403,357,313
538,403,358,313
538,403,359,314
538,404,360,315
538,404,361,316
537,405,362,317
538,406,363,318
537,407,364,319
537,408,365,320
536,408,366,321
536,409,367,322
537,410,368,323
538,411,369,324
