X.i, X.j, Y.i, Y.j
400, 300, 1, 1
400, 301, 2, 2
400, 301, 3, 3
400, 302, 4, 4
400, 302, 5, 5
400, 303, 6, 6
400, 303, 7, 7
400, 304, 8, 8
400, 304, 9, 9
400, 305, 10, 10
400, 305, 11, 11
400, 306, 12, 12
400, 306, 13, 13
400, 307, 14, 14
400, 307, 15, 15
400, 308, 16, 16
400, 308, 17, 17
400, 309, 18, 18
400, 309, 19, 19
400, 310, 20, 20
400, 310, 21, 21
400, 311, 22, 22
400, 311, 23, 23
400, 312, 24, 24
400, 312, 25, 25
400, 313, 26, 26
400, 313, 27, 27
400, 314, 28, 28
400, 314, 29, 29
400, 315, 30, 30
400, 315, 31, 31
400, 316, 32, 32
400, 316, 33, 33
400, 317, 34, 34
400, 317, 35, 35
400, 318, 36, 36
400, 318, 37, 37
400, 319, 38, 38
400, 319, 39, 39
400, 320, 40, 40
400, 320, 41, 41
400, 321, 42, 42
400, 321, 43, 43
400, 322, 44, 44
400, 322, 45, 45
400, 323, 46, 46
400, 323, 47, 47
400, 324, 48, 48
400, 324, 49, 49
400, 325, 50, 50
400, 325, 51, 51
400, 326, 52, 52
400, 326, 53, 53
400, 327, 54, 54
400, 327, 55, 55
400, 328, 56, 56
400, 328, 57, 57
400, 329, 58, 58
400, 329, 59, 59
400, 330, 60, 60
400, 330, 61, 61
400, 331, 62, 62
400, 331, 63, 63
400, 332, 64, 64
400, 332, 65, 65
400, 333, 66, 66
400, 333, 67, 67
400, 334, 68, 68
400, 334, 69, 69
400, 335, 70, 70
400, 335, 71, 71
400, 336, 72, 72
400, 336, 73, 73
400, 337, 74, 74
400, 337, 75, 75
400, 338, 76, 76
400, 338, 77, 77
400, 339, 78, 78
400, 339, 79, 79
400, 340, 80, 80
400, 340, 81, 81
400, 341, 82, 82
400, 341, 83, 83
400, 342, 84, 84
400, 342, 85, 85
400, 343, 86, 86
400, 343, 87, 87
400, 344, 88, 88
400, 344, 89, 89
400, 345, 90, 90
400, 345, 91, 91
400, 346, 92, 92
400, 346, 93, 93
400, 347, 94, 94
400, 347, 95, 95
400, 348, 96, 96
400, 348, 97, 97
400, 349, 98, 98
400, 349, 99, 99
400, 350, 100, 100
400, 350, 101, 101
400, 351, 102, 102
400, 351, 103, 103
400, 352, 104, 104
400, 352, 105, 105
400, 353, 106, 106
400, 353, 107, 107
400, 354, 108, 108
400, 354, 109, 109
400, 355, 110, 110
400, 355, 111, 111
400, 356, 112, 112
400, 356, 113, 113
400, 357, 114, 114
400, 357, 115, 115
400, 358, 116, 116
400, 358, 117, 117
400, 359, 118, 118
400, 359, 119, 119
400, 360, 120, 120
400, 360, 121, 121
400, 361, 122, 122
400, 361, 123, 123
400, 362, 124, 124
400, 362, 125, 125
400, 363, 126, 126
400, 363, 127, 127
400, 364, 128, 128
400, 364, 129, 129
400, 365, 130, 130
400, 365, 131, 131
400, 366, 132, 132
400, 366, 133, 133
400, 367, 134, 134
400, 367, 135, 135
400, 368, 136, 136
400, 368, 137, 137
400, 369, 138, 138
400, 369, 139, 139
400, 370, 140, 140
400, 370, 141, 141
400, 371, 142, 142
400, 371, 143, 143
400, 372, 144, 144
400, 372, 145, 145
400, 373, 146, 146
400, 373, 147, 147
400, 374, 148, 148
400, 374, 149, 149
400, 375, 150, 150
400, 375, 151, 151
400, 376, 152, 152
400, 376, 153, 153
400, 377, 154, 154
400, 377, 155, 155
400, 378, 156, 156
400, 378, 157, 157
400, 379, 158, 158
400, 379, 159, 159
400, 380, 160, 160
400, 380, 161, 161
400, 381, 162, 162
400, 381, 163, 163
400, 382, 164, 164
400, 382, 165, 165
400, 383, 166, 166
400, 383, 167, 167
400, 384, 168, 168
400, 384, 169, 169
400, 385, 170, 170
400, 385, 171, 171
400, 386, 172, 172
400, 386, 173, 173
400, 387, 174, 174
400, 387, 175, 175
400, 388, 176, 176
400, 388, 177, 177
400, 389, 178, 178
400, 389, 179, 179
400, 390, 180, 180
400, 390, 181, 181
400, 391, 182, 182
400, 391, 183, 183
400, 392, 184, 184
400, 392, 185, 185
400, 393, 186, 186
400, 393, 187, 187
400, 394, 188, 188
400, 394, 189, 189
400, 395, 190, 190
400, 395, 191, 191
400, 396, 192, 192
400, 396, 193, 193
400, 397, 194, 194
400, 397, 195, 195
400, 398, 196, 196
400, 398, 197, 197
400, 399, 198, 198
400, 399, 199, 199
400, 400, 200, 200
400, 400, 201, 201
400, 401, 202, 202
400, 401, 203, 203
400, 402, 204, 204
400, 402, 205, 205
400, 403, 206, 206
400, 403, 207, 207
400, 404, 208, 208
400, 404, 209, 209
400, 405, 210, 210
400, 405, 211, 211
400, 406, 212, 212
400, 406, 213, 213
400, 407, 214, 214
400, 407, 215, 215
400, 408, 216, 216
400, 408, 217, 217
400, 409, 218, 218
400, 409, 219, 219
400, 410, 220, 220
400, 410, 221, 221
400, 411, 222, 222
400, 411, 223, 223
400, 412, 224, 224
400, 412, 225, 225
400, 413, 226, 226
400, 413, 227, 227
400, 414, 228, 228
400, 414, 229, 229
400, 415, 230, 230
400, 415, 231, 231
400, 416, 232, 232
400, 416, 233, 233
400, 417, 234, 234
400, 417, 235, 235
400, 418, 236, 236
400, 418, 237, 237
400, 419, 238, 238
400, 419, 239, 239
400, 420, 240, 240
400, 420, 241, 241
400, 421, 242, 242
400, 421, 243, 243
400, 422, 244, 244
400, 422, 245, 245
400, 423, 246, 246
400, 423, 247, 247
400, 424, 248, 248
400, 424, 249, 249
400, 425, 250, 250
400, 425, 251, 251
400, 426, 252, 252
400, 426, 253, 253
400, 427, 254, 254
400, 427, 255, 255
400, 428, 256, 256
400, 428, 257, 257
400, 429, 258, 258
400, 429, 259, 259
400, 430, 260, 260
400, 430, 261, 261
400, 431, 262, 262
400, 431, 263, 263
400, 432, 264, 264
400, 432, 265, 265
400, 433, 266, 266
400, 433, 267, 267
400, 434, 268, 268
400, 434, 269, 269
400, 435, 270, 270
400, 435, 271, 271
400, 436, 272, 272
400, 436, 273, 273
400, 437, 274, 274
400, 437, 275, 275
400, 438, 276, 276
400, 438, 277, 277
400, 439, 278, 278
400, 439, 279, 279
400, 440, 280, 280
400, 440, 281, 281
400, 441, 282, 282
400, 441, 283, 283
400, 442, 284, 284
400, 442, 285, 285
400, 443, 286, 286
400, 443, 287, 287
400, 444, 288, 288
400, 444, 289, 289
400, 445, 290, 290
400, 445, 291, 291
400, 446, 292, 292
400, 446, 293, 293
400, 447, 294, 294
400, 447, 295, 295
400, 448, 296, 296
400, 448, 297, 297
400, 449, 298, 298
400, 449, 299, 299
400, 450, 300, 300
400, 450, 301, 301
400, 451, 302, 302
400, 451, 303, 303
400, 452, 304, 304
400, 452, 305, 305
400, 453, 306, 306
400, 453, 307, 307
400, 454, 308, 308
400, 454, 309, 309
400, 455, 310, 310
400, 455, 311, 311
400, 456, 312, 312
400, 456, 313, 313
400, 457, 314, 314
400, 457, 315, 315
400, 458, 316, 316
400, 458, 317, 317
400, 459, 318, 318
400, 459, 319, 319
400, 460, 320, 320
400, 460, 321, 321
400, 461, 322, 322
400, 461, 323, 323
400, 462, 324, 324
400, 462, 325, 325
400, 463, 326, 326
400, 463, 327, 327
400, 464, 328, 328
400, 464, 329, 329
400, 465, 330, 330
400, 465, 331, 331
400, 466, 332, 332
400, 466, 333, 333
400, 467, 334, 334
400, 467, 334, 335
400, 468, 334, 336
400, 468, 335, 337
400, 469, 335, 338
400, 469, 335, 339
400, 470, 335, 340
400, 470, 336, 341
400, 471, 336, 342
400, 471, 336, 343
400, 472, 336, 344
400, 472, 337, 345
400, 473, 337, 346
400, 473, 337, 347
400, 474, 337, 348
400, 474, 338, 349
400, 475, 338, 350
400, 475, 338, 351
400, 476, 338, 352
400, 476, 339, 353
400, 477, 339, 354
400, 477, 339, 355
400, 478, 339, 356
400, 478, 340, 357
400, 479, 340, 358
400, 479, 340, 359
400, 480, 340, 360
400, 480, 341, 361
400, 481, 341, 362
400, 481, 341, 363
400, 482, 341, 364
