X.i, X.j, Y.i, Y.j
44,33,12,12
45,34,13,13
45,34,14,14
46,35,15,15
46,35,16,16
47,36,17,17
47,36,18,18
48,37,19,19
48,37,20,20
49,38,21,21
49,38,22,22
50,39,23,23
50,39,24,24
51,40,25,25
51,40,26,26
52,41,27,27
52,41,28,28
53,42,29,29
53,42,30,30
54,43,31,31
54,43,32,32
55,44,33,33
55,44,34,34
56,45,35,35
56,45,36,35
57,46,37,36
57,46,38,37
58,47,39,38
58,47,40,38
59,48,41,39
59,48,42,40
60,49,43,41
60,49,44,41
61,50,45,42
61,50,46,43
62,51,47,44
62,51,48,44
63,52,49,45
63,52,50,46
64,53,51,47
64,53,52,47
65,54,53,48
65,54,54,49
66,55,55,50
66,55,56,50
67,56,57,51
67,56,58,52
68,57,59,53
68,57,60,53
69,58,61,54
69,58,62,55
70,59,63,56
70,59,64,56
71,60,65,57
71,60,66,58
72,61,67,59
72,61,68,59
73,62,69,60
73,62,70,61
74,63,71,62
74,63,72,62
75,64,73,63
75,64,74,64
76,65,75,65
76,65,76,65
