X.i, X.j, Y.i, Y.j
44,33,12,12
44,34,13,13
44,34,14,14
44,35,15,15
44,35,16,16
44,36,17,17
44,36,18,18
44,37,19,19
44,37,20,20
44,38,21,21
44,38,22,22
44,39,23,23
44,39,24,24
44,40,25,25
44,40,26,26
44,41,27,27
44,41,28,28
44,42,29,29
44,42,30,30
44,43,31,31
44,43,32,32
45,44,33,33
45,44,34,34
46,45,35,35
46,45,36,36
47,46,37,37
47,46,38,38
48,47,39,39
48,47,40,40
49,48,41,41
49,48,42,42
50,49,43,43
50,49,44,44
51,50,45,45
51,50,46,46
52,51,47,47
52,51,48,48
53,52,49,49
53,52,50,50
54,53,51,51
54,53,52,52
55,54,53,53
55,54,54,54
56,55,55,55
56,55,56,55
